judul berita,link berita,gambar
Polres Lotara Datangi Dusun-dusun Bantu Petugas Vaksinasi COVID-19,https://news.detik.com/berita/d-5546064/polres-lotara-datangi-dusun-dusun-bantu-petugas-vaksinasi-covid-19,https://akcdn.detik.net.id/community/media/visual/2021/04/25/polda-ntb-7_43.jpeg?w=210&q=90
"Kepala BIN Daerah Papua Gugur Ditembak KKB, Anggotanya Selamat",https://news.detik.com/berita/d-5546061/kepala-bin-daerah-papua-gugur-ditembak-kkb-anggotanya-selamat,https://akcdn.detik.net.id/community/media/visual/2016/03/08/b6443d6c-2855-4e8b-88ca-d851d1340ac4_43.jpg?w=210&q=90
"Kru KRI Nanggala Gugur, Khofifah: Kami Berduka, Prajurit Mayoritas Warga Jatim",https://news.detik.com/berita-jawa-timur/d-5546042/kru-kri-nanggala-gugur-khofifah-kami-berduka-prajurit-mayoritas-warga-jatim,https://akcdn.detik.net.id/community/media/visual/2021/04/24/kri-nanggala-402_43.jpeg?w=210&q=90
"Kabinda Papua Gugur Ditembak KKB, Jenazah Akan Dibawa ke Timika",https://news.detik.com/berita/d-5546040/kabinda-papua-gugur-ditembak-kkb-jenazah-akan-dibawa-ke-timika,https://akcdn.detik.net.id/community/media/visual/2016/02/23/267bfe58-78ed-42ba-bbc5-e2e07b1df3b1_43.jpg?w=210&q=90
"53 Awak KRI Nanggala-402 Gugur, Kapolri Ucapkan Duka Cita",https://news.detik.com/berita/d-5546039/53-awak-kri-nanggala-402-gugur-kapolri-ucapkan-duka-cita,https://akcdn.detik.net.id/community/media/visual/2021/04/24/kapolri-jenderal-listyo-sigit-prabowo-dalam-konferensi-pers-kri-nanggala-402_43.jpeg?w=210&q=90
53 Awak KRI Nanggala-402 Dipastikan Gugur,https://news.detik.com/detiktv/d-5546036/53-awak-kri-nanggala-402-dipastikan-gugur,https://akcdn.detik.net.id/community/media/visual/2021/04/24/kri-nanggala-402_43.jpeg?w=210&q=90
Ganjar Didesak Jelaskan Penolakan Tambang di Purworejo Berujung Bentrok,https://news.detik.com/berita-jawa-tengah/d-5546035/ganjar-didesak-jelaskan-penolakan-tambang-di-purworejo-berujung-bentrok,https://akcdn.detik.net.id/community/media/visual/2021/04/24/ke-11-orang-yang-ditangkap-usai-aksi-ricuh-tolak-tambang-andesit-di-purworejo-akhirnya-dibebaskan-sabtu-2442021-dini-hari-tadi_43.jpeg?w=210&q=90
KRI Nanggala-402 akan Diangkat dari Kedalaman 838 Meter,https://news.detik.com/berita/d-5546018/kri-nanggala-402-akan-diangkat-dari-kedalaman-838-meter,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali-5_43.jpeg?w=210&q=90
Nama 53 Awak KRI Nanggala-402 yang Gugur dan Akan Diberi Kenaikan Pangkat,https://news.detik.com/berita/d-5546014/nama-53-awak-kri-nanggala-402-yang-gugur-dan-akan-diberi-kenaikan-pangkat,https://akcdn.detik.net.id/community/media/visual/2021/04/21/kapal-selam-kri-nanggala-402-saat-latihan-pratugas-satgas-operasi-pengamanan-perbatasan-pamtas-maphilindo-2017-di-laut-jawa-ju_43.jpeg?w=210&q=90
Awak KRI Nanggala Diduga Keluarkan Escape Suit tapi Tak Sempat Pakai,https://news.detik.com/berita/d-5545998/awak-kri-nanggala-diduga-keluarkan-escape-suit-tapi-tak-sempat-pakai,https://akcdn.detik.net.id/community/media/visual/2021/04/25/escape-suit-kri-nanggala-502-foto-tangkapan-layar-youtube-puspen-tni_43.jpeg?w=210&q=90
Refleksi Strategis KRI Nanggala-402,https://news.detik.com/kolom/d-5545996/refleksi-strategis-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali-4_43.jpeg?w=210&q=90
"Makin Tegang, Penjaga Pantai Filipina Latihan di Laut China Selatan",https://news.detik.com/internasional/d-5545995/makin-tegang-penjaga-pantai-filipina-latihan-di-laut-china-selatan,https://akcdn.detik.net.id/community/media/visual/2021/03/22/220-kapal-al-china-ini-bikin-filipina-geram-4_43.jpeg?w=210&q=90
"Retrofit Disorot, TNI AL Pastikan Kondisi KRI Nanggala-402 Siap Tempur",https://news.detik.com/berita/d-5545990/retrofit-disorot-tni-al-pastikan-kondisi-kri-nanggala-402-siap-tempur,https://akcdn.detik.net.id/community/media/visual/2021/04/25/panglima-tni-marsekal-hadi-tjahjanto-saat-jumpa-pers-terkait-kri-nanggala-502-foto-sui-suadnyanadetikcom-1_43.jpeg?w=210&q=90
"Mobil Pick Up Tabrak 3 Pejalan Kaki di Sukabumi, Satu Orang Tewas",https://news.detik.com/berita-jawa-barat/d-5545985/mobil-pick-up-tabrak-3-pejalan-kaki-di-sukabumi-satu-orang-tewas,https://akcdn.detik.net.id/community/media/visual/2021/04/25/mobil-pick-up-tabrak-pejalan-kaki_43.jpeg?w=210&q=90
Keluarga Kru KRI Nanggala-402 Datangi Lanal Banyuwangi,https://news.detik.com/berita-jawa-timur/d-5545984/keluarga-kru-kri-nanggala-402-datangi-lanal-banyuwangi,https://akcdn.detik.net.id/community/media/visual/2021/04/25/keluarga-kru-kapal-selam-nanggala-402-datangi-lanal-banyuwangi_43.jpeg?w=210&q=90
Penyebab Kabinda Papua Meninggal: Ditembak KKB di Beoga,https://news.detik.com/berita/d-5545979/penyebab-kabinda-papua-meninggal-ditembak-kkb-di-beoga,https://akcdn.detik.net.id/community/media/visual/2016/02/23/c3ad05bf-33ea-42ee-a74b-4d5dc3786f54_43.jpg?w=210&q=90
"KSAL: Tenggelamnya KRI Nanggala-402 Bukan Human Error, Mungkin Faktor Alam",https://news.detik.com/berita/d-5545978/ksal-tenggelamnya-kri-nanggala-402-bukan-human-error-mungkin-faktor-alam,https://akcdn.detik.net.id/community/media/visual/2021/04/25/panglima-tni-marsekal-hadi-tjahjanto-saat-jumpa-pers-terkait-kri-nanggala-502-foto-sui-suadnyanadetikcom-1_43.jpeg?w=210&q=90
"Gugur, 53 Awak KRI Nanggala-402 Akan Diberi Kenaikan Pangkat",https://news.detik.com/berita/d-5545970/gugur-53-awak-kri-nanggala-402-akan-diberi-kenaikan-pangkat,https://akcdn.detik.net.id/community/media/visual/2021/04/21/kri-nanggala-402-1_43.jpeg?w=210&q=90
"Seluruh Awak KRI Nanggala-402 Dinyatakan Gugur, Keluarga: Harus Siap",https://news.detik.com/berita-jawa-tengah/d-5545969/seluruh-awak-kri-nanggala-402-dinyatakan-gugur-keluarga-harus-siap,https://akcdn.detik.net.id/community/media/visual/2021/04/25/foto-letda-rintoni-dan-istri_43.jpeg?w=210&q=90
KRI Raden Eddy Martadinata-331 Berlayar Mencari KRI Nanggala 402,https://news.detik.com/foto-news/d-5545954/kri-raden-eddy-martadinata-331-berlayar-mencari-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/25/kri-raden-eddy-martadinata-331-berlayar-mencari-kri-nanggala-402_43.jpeg?w=210&q=90
"Kru KRI Nanggala-402 Gugur, Arek Suroboyo Doa Bersama di Depan Grahadi",https://news.detik.com/berita-jawa-timur/d-5546011/kru-kri-nanggala-402-gugur-arek-suroboyo-doa-bersama-di-depan-grahadi,https://akcdn.detik.net.id/community/media/visual/2021/04/25/lintas-agama-gelar-doa-bersama-dan-salat-gaib-untuk-kri-nanggala-402-1_43.jpeg?w=210&q=90
Melihat Al-Quran Tulisan Tangan Pangeran Diponegoro,https://news.detik.com/detiktv/d-5545966/melihat-al-quran-tulisan-tangan-pangeran-diponegoro,https://akcdn.detik.net.id/community/media/visual/2021/04/21/masjid-langgar-agung-magelang-menyimpan-al-quran-bertuliskan-tangan-pangeran-diponegoro_43.jpeg?w=210&q=90
Ungkapan Kesedihan Panglima TNI Saat Umumkan 53 Awak KRI Nanggala-402 Gugur,https://news.detik.com/berita/d-5545953/ungkapan-kesedihan-panglima-tni-saat-umumkan-53-awak-kri-nanggala-402-gugur,https://akcdn.detik.net.id/community/media/visual/2021/04/25/panglima-tni-marsekal-hadi-tjahjanto-saat-jumpa-pers-terkait-kri-nanggala-502-foto-sui-suadnyanadetikcom-1_43.jpeg?w=210&q=90
"Tenggelam, KRI Nanggala-402 Terbelah Jadi 3 Bagian",https://news.detik.com/berita/d-5545952/tenggelam-kri-nanggala-402-terbelah-jadi-3-bagian,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali_43.jpeg?w=210&q=90
"Anies Sebut DKI Ketergantungan Produk Pertanian, Khofifah Tawarkan Hasil Panen",https://news.detik.com/berita-jawa-timur/d-5545950/anies-sebut-dki-ketergantungan-produk-pertanian-khofifah-tawarkan-hasil-panen,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-mou-dengan-pemkab-ngawi-terkait-ketahanan-pangan-beras-anies-didampingi-gubernur-khofifah-1_43.jpeg?w=210&q=90
Bukti-bukti Otentik yang Menyatakan Awak KRI Nanggala-402 Gugur,https://news.detik.com/berita/d-5545949/bukti-bukti-otentik-yang-menyatakan-awak-kri-nanggala-402-gugur,https://akcdn.detik.net.id/community/media/visual/2021/04/24/kri-nanggala-402_43.jpeg?w=210&q=90
Pertamina Bantu 400 Sak Semen untuk Perbaiki Rumah Korban Gempa Malang,https://news.detik.com/berita/d-5545945/pertamina-bantu-400-sak-semen-untuk-perbaiki-rumah-korban-gempa-malang,https://akcdn.detik.net.id/community/media/visual/2021/04/25/pertamina-beri-bantuan-untuk-korban-gempa-malang_43.jpeg?w=210&q=90
Penampakan Al-Qur'an Bertinta Emas yang Dikoleksi Pria di Bantul,https://news.detik.com/foto-news/d-5545928/penampakan-al-quran-bertinta-emas-yang-dikoleksi-pria-di-bantul,https://akcdn.detik.net.id/community/media/visual/2021/04/25/penampakan-al-quran-bertinta-emas-yang-dikoleksi-pria-di-bantul-3_43.jpeg?w=210&q=90
Panglima TNI: Seluruh Awak KRI Nanggala-402 Gugur,https://news.detik.com/berita/d-5545944/panglima-tni-seluruh-awak-kri-nanggala-402-gugur,https://akcdn.detik.net.id/community/media/visual/2021/04/21/kapal-selam-kri-nanggala-402-saat-latihan-pratugas-satgas-operasi-pengamanan-perbatasan-pamtas-maphilindo-2017-di-laut-jawa-ju_43.jpeg?w=210&q=90
"Update Lengkap Data COVID-19 di RI 25 April, Sebaran Terbanyak di DKI-Jabar",https://news.detik.com/berita/d-5545922/update-lengkap-data-covid-19-di-ri-25-april-sebaran-terbanyak-di-dki-jabar,https://akcdn.detik.net.id/community/media/visual/2021/04/05/ilustrasi-virus-corona_43.jpeg?w=210&q=90
"Jelang Pelantikan, Dadang-Sahrul Minta Warga Tak Kirim Karangan Bunga",https://news.detik.com/berita-jawa-barat/d-5545920/jelang-pelantikan-dadang-sahrul-minta-warga-tak-kirim-karangan-bunga,https://akcdn.detik.net.id/community/media/visual/2021/03/20/dadang-supriatna-sahrul-gunawan-2_43.jpeg?w=210&q=90
Menko PMK dan Mensos Kuatkan Keluarga Kru KRI Nanggala-402,https://news.detik.com/berita-jawa-timur/d-5545911/menko-pmk-dan-mensos-kuatkan-keluarga-kru-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/25/menko-pmk-dan-mensos-beri-pendampingan-ke-keluarga-kru-kri-nanggala-402_43.jpeg?w=210&q=90
detikKultum Gus Miftah: Bahaya Ghibah di Bulan Berkah,https://news.detik.com/berita/d-5545908/detikkultum-gus-miftah-bahaya-ghibah-di-bulan-berkah,https://akcdn.detik.net.id/community/media/visual/2021/04/25/kultum-gus-miftah-bahaya-ghibah-di-bulan-berkah_43.png?w=210&q=90
BNN Kobarkan Semangat Lawan Narkoba Lewat Lagu,https://news.detik.com/detiktv/d-5545947/bnn-kobarkan-semangat-lawan-narkoba-lewat-lagu,https://akcdn.detik.net.id/community/media/visual/2021/02/17/bnn-bakamla-amankan-436-kg-sabu-1_43.jpeg?w=210&q=90
Doa dan Harapan Keluarga Letkol Irfan Suri Awak KRI Nanggala-402,https://news.detik.com/berita-jawa-barat/d-5545906/doa-dan-harapan-keluarga-letkol-irfan-suri-awak-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/22/kapal-selam-kri-nanggala-dengan-53-awak-terus-dicari-keluarga-kami-masih-syok_43.jpeg?w=210&q=90
"PNS Tajir Makassar Balik Heran: Saya Jujur Lapor Harta, Harusnya Diapresiasi",https://news.detik.com/berita/d-5545905/pns-tajir-makassar-balik-heran-saya-jujur-lapor-harta-harusnya-diapresiasi,https://akcdn.detik.net.id/community/media/visual/2019/01/29/7844c46e-a805-47c8-8767-c032e92e88be_43.jpeg?w=210&q=90
Kepala BIN Daerah Papua Meninggal di Beoga,https://news.detik.com/berita/d-5545904/kepala-bin-daerah-papua-meninggal-di-beoga,https://akcdn.detik.net.id/community/media/visual/2016/02/23/267bfe58-78ed-42ba-bbc5-e2e07b1df3b1_43.jpg?w=210&q=90
Jadwal Buka Puasa 25 April 2021 untuk 35 Daerah di Jawa Tengah,https://news.detik.com/berita-jawa-tengah/d-5545900/jadwal-buka-puasa-25-april-2021-untuk-35-daerah-di-jawa-tengah,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ilustrasi-ramadhan-atau-ramadan-1_43.jpeg?w=210&q=90
"Waktu Berbuka Puasa untuk Seluruh DIY, Minggu 25 April 2021",https://news.detik.com/berita-jawa-tengah/d-5545813/waktu-berbuka-puasa-untuk-seluruh-diy-minggu-25-april-2021,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ilustrasi-ramadhan-atau-ramadan_43.jpeg?w=210&q=90
KPK Santai Hadapi Praperadilan RJ Lino,https://news.detik.com/berita/d-5545901/kpk-santai-hadapi-praperadilan-rj-lino,https://akcdn.detik.net.id/community/media/visual/2020/01/13/07f204d0-0636-4ad3-a72f-9ee4a7dc5b3b_43.jpeg?w=210&q=90
"Abaikan Laporan Kapal Dinas Dipakai Pilkada, Anggota Bawaslu Taliabu Dipecat",https://news.detik.com/berita/d-5545880/abaikan-laporan-kapal-dinas-dipakai-pilkada-anggota-bawaslu-taliabu-dipecat,https://akcdn.detik.net.id/community/media/visual/2018/09/06/0a42dcb7-5ccf-4258-984a-47ed90aac681_43.jpeg?w=210&q=90
Setop Lakukan Ini Agar Keluarga Awak KRI Nanggala-402 Tidak Trauma,https://news.detik.com/berita/d-5545864/setop-lakukan-ini-agar-keluarga-awak-kri-nanggala-402-tidak-trauma,https://akcdn.detik.net.id/community/media/visual/2021/04/24/keluarga-awak-kri-nanggala-402-di-jombang_43.jpeg?w=210&q=90
"Berkunjung ke Jatim, Anies Didampingi 2 Kepala daerah yang Diusung Demokrat",https://news.detik.com/berita-jawa-timur/d-5545877/berkunjung-ke-jatim-anies-didampingi-2-kepala-daerah-yang-diusung-demokrat,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-khofifah-bertemu-gubernur-dki-jakarta-anies-baswedan-di-balai-kota-madiun_43.jpeg?w=210&q=90
Kala Nanggala Cegah Australia Masuk Timtim Jelang Jajak Pendapat,https://news.detik.com/berita/d-5545862/kala-nanggala-cegah-australia-masuk-timtim-jelang-jajak-pendapat,https://akcdn.detik.net.id/community/media/visual/2021/04/23/frans-wuwung-1_43.jpeg?w=210&q=90
"Anies Serap Gabah Petani Ngawi untuk DKI, Khofifah: Terima Kasih",https://news.detik.com/berita/d-5545827/anies-serap-gabah-petani-ngawi-untuk-dki-khofifah-terima-kasih,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan_43.jpeg?w=210&q=90
"Kasus Corona di India Hampir 350 Ribu Sehari, New Delhi Lanjut Lockdown",https://news.detik.com/internasional/d-5545844/kasus-corona-di-india-hampir-350-ribu-sehari-new-delhi-lanjut-lockdown,https://akcdn.detik.net.id/community/media/visual/2021/04/20/corona-melonjak-kremasi-jenazah-di-india-non-stop-24-jam-5_43.jpeg?w=210&q=90
Update Global: Kasus Covid-19 Tembus 146 Juta,https://news.detik.com/detiktv/d-5545832/update-global-kasus-covid-19-tembus-146-juta,https://akcdn.detik.net.id/community/media/visual/2020/11/24/potret-para-pengurus-jenazah-pasien-corona-di-negeri-matador-3_43.jpeg?w=210&q=90
"Tambah 4.402, Kasus Corona RI 25 April Jadi 1.641.194",https://news.detik.com/berita/d-5545829/tambah-4402-kasus-corona-ri-25-april-jadi-1641194,https://akcdn.detik.net.id/community/media/visual/2020/04/26/cf31c983-b57e-401e-977e-d823d7538ca1_43.jpeg?w=210&q=90
Anies: Kerja Sama Pangan Adalah Usaha Jakarta Balas Budi Petani,https://news.detik.com/berita/d-5545826/anies-kerja-sama-pangan-adalah-usaha-jakarta-balas-budi-petani,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-1_43.jpeg?w=210&q=90
Pengasuh Ponpes di Ponorogo Bersyukur Santrinya Akan Diperistri UAS,https://news.detik.com/berita-jawa-timur/d-5545825/pengasuh-ponpes-di-ponorogo-bersyukur-santrinya-akan-diperistri-uas,https://akcdn.detik.net.id/community/media/visual/2021/04/25/pendiri-dan-pengasuh-ponpes-tahfidz-quran-al-muqoddasah-kh-hasan-abdullah-sahal-saat-di-ponpes-gontor_43.jpeg?w=210&q=90
Pemuda di Samarinda Hilang Saat Mancing di Sungai Mahakam,https://news.detik.com/berita/d-5545824/pemuda-di-samarinda-hilang-saat-mancing-di-sungai-mahakam,https://akcdn.detik.net.id/community/media/visual/2016/07/29/337afd98-fda1-48a9-9666-dbfa253c3833_43.jpg?w=210&q=90
Filosofi Mendalam 'Hiu Kencana' Kebanggaan Awak Kapal Selam,https://news.detik.com/berita/d-5545822/filosofi-mendalam-hiu-kencana-kebanggaan-awak-kapal-selam,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali-1_43.jpeg?w=210&q=90
Pelaku Tabrak Lari Bocah Perempuan di Sukabumi Menyerahkan Diri,https://news.detik.com/berita-jawa-barat/d-5545820/pelaku-tabrak-lari-bocah-perempuan-di-sukabumi-menyerahkan-diri,https://akcdn.detik.net.id/community/media/visual/2019/12/11/8262acc7-7261-47ab-9cf4-00f1cbea7971_43.jpeg?w=210&q=90
PNS Makassar Pemilik Ford Mustang-Harley Davidson Buka Suara!,https://news.detik.com/berita/d-5545817/pns-makassar-pemilik-ford-mustang-harley-davidson-buka-suara,https://akcdn.detik.net.id/community/media/visual/2020/06/23/ford-mustang_43.jpeg?w=210&q=90
Jerapah-jerapah Dievakuasi dari Pulau yang Akan Tenggelam di Kenya,https://news.detik.com/detiktv/d-5545815/jerapah-jerapah-dievakuasi-dari-pulau-yang-akan-tenggelam-di-kenya,https://akcdn.detik.net.id/community/media/visual/2020/12/10/terkepung-banjir-jerapah-di-kenya-dievakuasi_43.jpeg?w=210&q=90
"Klaster Kantor Melonjak, Begini Naik-Turun Corona di Jakarta dalam Sepekan",https://news.detik.com/berita/d-5545814/klaster-kantor-melonjak-begini-naik-turun-corona-di-jakarta-dalam-sepekan,https://akcdn.detik.net.id/community/media/visual/2020/09/02/ilustrasi-corona-fauzan-kamildetikcom_43.jpeg?w=210&q=90
"Waduh, Trotoar di Kota Bandung Jadi Tempat Parkir Liar",https://news.detik.com/foto-news/d-5545807/waduh-trotoar-di-kota-bandung-jadi-tempat-parkir-liar,https://akcdn.detik.net.id/community/media/visual/2021/04/25/waduh-trotoar-di-kota-bandung-jadi-tempat-parkir-liar_43.jpeg?w=210&q=90
Membandingkan Elektabilitas Anies dan Khofifah di Survei Capres Terkini,https://news.detik.com/berita/d-5545802/membandingkan-elektabilitas-anies-dan-khofifah-di-survei-capres-terkini,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-bertemu-dengan-gubernur-jawa-timur-khofifah-indar-parawansa-foto-dok-pemprov-jatim_43.jpeg?w=210&q=90
"Jakarta Ketergantungan Pangan 99 Persen, Anies Ingin Balas Budi ke Petani Jatim",https://news.detik.com/berita-jawa-timur/d-5545801/jakarta-ketergantungan-pangan-99-persen-anies-ingin-balas-budi-ke-petani-jatim,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-mou-dengan-pemkab-ngawi-terkait-ketahanan-pangan-beras-anies-didampingi-gubernur-khofifah-2_43.jpeg?w=210&q=90
"Ada Varian Virus Baru, Waket MPR Minta Terapkan Prokes di Keseharian",https://news.detik.com/berita/d-5545797/ada-varian-virus-baru-waket-mpr-minta-terapkan-prokes-di-keseharian,https://akcdn.detik.net.id/community/media/visual/2020/10/28/wakil-ketua-mpr-lestari-moerdijat-mengungkapkan-museum-memiliki-kemampuan-untuk-membangkitkan-kembali-idealisme-dan-nasionalis_43.jpeg?w=210&q=90
Waspada Potensi Hujan Lebat Disertai Kilat di Jabodetabek Sore Ini,https://news.detik.com/berita/d-5545796/waspada-potensi-hujan-lebat-disertai-kilat-di-jabodetabek-sore-ini,https://akcdn.detik.net.id/community/media/visual/2020/02/13/46c145d8-2514-4eab-bd0b-5e1b7f82d016_43.jpeg?w=210&q=90
MUI Ajak Warga Salat Gaib untuk Awak Kapal KRI Nanggala-402,https://news.detik.com/berita/d-5545793/mui-ajak-warga-salat-gaib-untuk-awak-kapal-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/21/kri-nanggala-402_43.jpeg?w=210&q=90
Sosok RP Poernomo dan Slogan 'Tabah Sampai Akhir' bagi Awak Kapal Selam,https://news.detik.com/berita/d-5545791/sosok-rp-poernomo-dan-slogan-tabah-sampai-akhir-bagi-awak-kapal-selam,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali-5_43.jpeg?w=210&q=90
Reuni Anies-Khofifah Dianggap Penjajakan Cari Chemistry Pilpres 2024,https://news.detik.com/berita/d-5545788/reuni-anies-khofifah-dianggap-penjajakan-cari-chemistry-pilpres-2024,https://akcdn.detik.net.id/community/media/visual/2021/04/25/momen-pertemuan-anies-khofifah-di-balai-kota-madiun-1_43.jpeg?w=210&q=90
Walkot Makassar Heran Anak Buahnya Punya Mobil Mewah-Harta Melimpah,https://news.detik.com/detiktv/d-5545786/walkot-makassar-heran-anak-buahnya-punya-mobil-mewah-harta-melimpah,https://akcdn.detik.net.id/community/media/visual/2021/03/02/wali-kota-makassar-danny-pomanto-ibnu-munsirdetikcom_43.jpeg?w=210&q=90
Doa Keluar Rumah,https://news.detik.com/infografis/d-5545677/doa-keluar-rumah,https://akcdn.detik.net.id/community/media/visual/2021/04/25/one-day-one-hadits-doa-keluar-rumah_43.jpeg?w=210&q=90
Mensos Kunjungi Anak Kru KRI Nanggala-402 Kunci Ayahnya di Kamar yang Viral,https://news.detik.com/berita-jawa-timur/d-5545784/mensos-kunjungi-anak-kru-kri-nanggala-402-kunci-ayahnya-di-kamar-yang-viral,https://akcdn.detik.net.id/community/media/visual/2021/04/25/mensos-datangi-rumah-kru-kri-nanggala-420-yang-viral-karena-anaknya-1_43.jpeg?w=210&q=90
